x,y
100,100
94,100
88.36,99.7
83.0822572,99.119746
78.16314191,98.28130482
73.59425815,97.20822736
69.36351525,95.92479968
65.45610753,94.45540035
61.8553762,92.82397176
58.54354196,91.05360401
55.50230778,89.16622406
52.71333893,87.18237846
50.15863226,85.12109667
47.82078922,82.99982073
45.68320766,80.83438816
43.73020716,78.63905582
41.94710139,76.42655413
40.32022926,74.20816263
38.83695502,71.99379957
37.48564571,69.79211956
36.25563268,67.61061492
35.1371626,65.45571698
34.12134213,63.33289522
33.20007935,61.24675215
32.3660244,59.20111306
31.61251093,57.19910974
30.93349952,55.243258
30.32352394,53.33552874
29.7776406,51.4774129
29.2913815,49.6699802
28.86071084,47.91393236
28.48198504,46.20965082
28.15191626,44.55723957
27.86753924,42.95656343
27.62618107,41.40728212
27.42543394,39.90888055
27.26313043,38.4606957
27.13732127,37.0619404
27.0462553,35.71172427
26.98836139,34.40907226
26.96223221,33.15294089
26.96660961,31.94223249
27.00037156,30.77580772
27.06252028,29.65249646
27.15217173,28.57110728
27.26854604,27.53043572
27.41095896,26.52927141
27.57881423,25.56640423
27.77159666,24.64062957
27.9888659,23.7507529
28.2302509,22.89559358
28.49544491,22.07398808
28.78420096,21.28479273
29.09632781,20.52688597
29.43168634,19.79917017
29.79018626,19.10057314
30.17178318,18.4300493
30.57647597,17.78658056
31.00430439,17.16917701
31.45534697,16.57687736
31.9297191,16.0087492
32.42757129,15.46388918
32.9490877,14.9414229
33.4944847,14.44050488
34.0640097,13.96031827
34.65794001,13.50007457
35.27658192,13.05901323
35.92026976,12.63640124
36.5893652,12.23153265
37.28425655,11.84372802
38.00535811,11.47233392
38.75310971,11.1167223
39.5279762,10.77628997
40.33044704,10.45045794
41.16103598,10.13867086
42.02028068,9.840396415
42.9087425,9.555124704
43.82700623,9.282367661
44.77567987,9.021658471
45.75539447,8.772550993
46.76680392,8.534619209
47.81058486,8.30745668
48.88743648,8.090676027
49.99808041,7.883908431
51.14326056,7.686803154
52.32374302,7.499027084
53.54031586,7.320264313
54.793789,7.150215729
56.084994,6.988598649
57.41478385,6.835146473
58.78403276,6.689608378
60.1936358,6.551749038
61.64450864,6.421348384
63.13758712,6.298201398
64.67382682,6.182117947
66.25420252,6.072922663
67.87970761,5.970454854
69.55135338,5.874568476
71.27016821,5.785132146
73.03719665,5.702029209
74.85349835,5.625157863
76.72014683,5.554431342
78.63822812,5.489778169
80.60883918,5.431142475
82.63308607,5.378484396
84.71208197,5.331780559
86.84694482,5.291024646
89.03879477,5.256228077
91.28875122,5.22742078
93.59792952,5.204652098
95.96743721,5.187991823
98.39836987,5.177531372
100.8918064,5.173385127
103.4488036,5.175691956
106.0703905,5.184616928
108.7575613,5.200353253
111.5112682,5.223124459
114.3324127,5.253186852
117.2218365,5.290832274
120.1803107,5.336391198
123.2085237,5.390236214
126.3070687,5.452785926
129.4764279,5.524509333
132.7169564,5.605930734
136.0288632,5.69763523
139.4121906,5.80027489
142.8667901,5.914575659
146.3922971,6.041345096
149.9881002,6.181481034
153.6533095,6.335981281
157.3867187,6.505954463
161.1867645,6.692632153
165.0514801,6.897382407
168.9784437,7.121724874
172.9647208,7.367347623
177.0068003,7.636125854
181.1005228,7.930142664
185.2410008,8.251712022
189.4225309,8.603404117
193.6384961,8.988073202
197.8812577,9.408888031
202.1420371,9.869364928
206.4107861,10.37340345
210.6760455,10.92532446
214.9247931,11.52991031
219.1422797,12.19244659
223.3118556,12.91876453
227.4147893,13.71528294
231.4300806,14.58904788
235.334273,15.54776775
239.1012708,16.59984068
242.7021702,17.75437014
246.1051136,19.02116372
249.2751819,20.41070836
252.1743426,21.93411446
254.7614741,23.60301919
256.9924924,25.42943821
258.8206099,27.42555365
260.1967595,29.60342523
261.0702185,31.97461163
261.3894681,34.54969047
261.1033195,37.33766855
260.1623288,40.34527973
258.5205089,43.57617671
256.1373223,47.03003556
252.9799094,50.70160747
249.0254674,54.57977113
244.2636537,58.64665908
238.6988408,62.87694974
232.3520165,67.23742976
225.2620999,71.68693447
217.4864484,76.17676244
209.1003697,80.65163107
200.1955235,85.05119246
190.877208,89.31206683
181.2606501,93.37028247
171.4665473,97.1639474
161.6162138,100.6359333
151.8267415,103.7363359
142.2065889,106.424494
132.8519487,108.6704015
123.8441401,110.4554187
115.2481335,111.7722759
107.112186,112.6244352
99.46844706,113.0249382
92.33432689,112.9948988
85.71437957,112.5618079
79.60246198,111.7578002
73.9839594,110.6180082
68.83791578,109.1790869
64.13895854,107.477963
59.85895514,105.5508271
55.96837779,103.4323669
52.43738152,101.1552195
49.23661961,98.7496159
46.33783065,96.24318374
43.71423526,93.66087473
41.34078016,91.02498775
39.19426395,88.35526036
37.25337442,85.66900704
35.49866201,82.98128649
33.9124697,80.30508448
32.47883442,77.65150213
31.1833722,75.02994217
30.01315541,72.44828836
28.95658851,69.91307481
28.00328644,67.42964314
27.14395858,65.00228679
26.3702999,62.63438214
25.6748902,60.32850676
25.0511019,58.08654531
24.49301618,55.90978403
23.99534735,53.79899445
23.55337477,51.75450751
23.16288203,49.77627879
22.82010262,47.86394588
22.52167156,46.01687867
22.26458238,44.23422325
22.046149,42.51494034
21.86397183,40.85783868
21.71590781,39.26160406
21.60004381,37.72482455
21.51467305,36.24601225
21.45827425,34.82362219
21.42949312,33.4560685
21.42712599,32.14173837
21.4501052,30.87900399
21.49748626,29.66623273
21.56843636,28.50179581
21.6622242,27.3840756
21.77821094,26.31147181
21.91584216,25.28240662
22.07464071,24.2953289
22.25420034,23.34871778
22.45418002,22.44108542
22.67429886,21.57097923
22.91433168,20.73698369
23.17410492,19.93772156
23.4534931,19.17185491
23.75241563,18.43808565
24.07083393,17.7351559
24.40874895,17.0618481
24.76619889,16.41698488
25.14325718,15.79942879
25.5400307,15.2080819
25.95665823,14.64188525
26.39330901,14.09981819
26.8501815,13.58089771
27.32750234,13.08417761
27.8255253,12.60874768
28.34453054,12.15373281
28.88482379,11.71829209
29.44673578,11.30161789
30.03062167,10.90293487
30.6368606,10.52149908
31.26585529,10.15659698
31.91803173,9.807544477
32.59383891,9.473686011
33.29374866,9.154393609
34.01825545,8.849065968
34.76787631,8.557127563
35.54315076,8.278027761
36.34464081,8.011239968
37.17293096,7.756260789
38.02862824,7.512609223
38.91236228,7.279825873
39.82478545,7.05747219
40.76657293,6.845129739
41.73842289,6.642399492
42.74105662,6.448901157
43.77521876,6.264272524
44.84167741,6.088168848
45.9412244,5.920262257
47.07467545,5.760241193
48.24287037,5.607809875
49.44667332,5.462687804
50.68697296,5.324609284
51.96468265,5.193322983
53.28074069,5.068591524
54.63611043,4.950191103
56.03178047,4.837911142
57.46876479,4.731553972
58.94810283,4.630934555
60.47085959,4.53588023
62.03812566,4.446230507
63.6510172,4.361836885
65.3106759,4.282562718
67.01826881,4.208283115
68.77498821,4.138884884
70.58205128,4.074266519
72.44069974,4.014338237
74.3521994,3.959022061
76.31783959,3.908251957
78.33893237,3.861974032
80.41681171,3.820146792
82.55283243,3.782741465
84.74836899,3.749742403
87.00481396,3.721147559
89.3235764,3.696969056
91.70607985,3.677233853
94.15376001,3.661984511
96.66806216,3.65128009
99.25043807,3.645197171
101.9023425,3.643831021
104.6252294,3.647296928
107.4205469,3.655731721
110.2897327,3.669295485
113.2342076,3.68817352
116.2553692,3.712578547
119.3545838,3.742753214
122.533178,3.77897293
125.7924288,3.821549065
129.1335519,3.870832581
132.5576895,3.927218132
136.0658955,3.991148706
139.6591191,4.063120882
143.338186,4.143690779
147.1037773,4.2334808
150.9564058,4.333187269
154.8963878,4.443589093
158.9238131,4.565557588
163.0385093,4.700067619
167.2400017,4.848210247
171.5274686,5.01120708
175.8996889,5.190426558
180.3549846,5.387402439
184.8911538,5.603854759
189.5053955,5.841713607
194.1942248,6.10314605
198.9533754,6.390586606
203.7776907,6.706771663
208.661,7.054778301
213.5959787,7.438067934
218.5739908,7.860535237
223.5849128,8.326562753
228.6169357,8.841081519
233.6563449,9.409637926
238.6872758,10.03846683
243.6914452,10.73457064
248.6478579,11.50580363
253.5324895,12.36096016
258.3179497,13.30986465
262.9731289,14.36345989
267.4628392,15.53388889
271.7474602,16.83456346
275.7826091,18.28021022
279.5188597,19.88688174
282.9015429,21.67191691
285.8706723,23.65383043
288.3610497,25.85210711
290.3026145,28.28687213
291.6211153,30.97840499
292.2391874,33.94646325
292.0779249,37.2093835
291.0590271,40.78293409
289.1075809,44.67890794
286.1554984,48.90346804
282.1455667,53.45529277
277.0359773,58.32361507
270.8050908,63.48630417
263.4560706,68.90819614
255.0208984,74.53992763
245.56321,80.31755091
235.1793742,86.16319117
223.9973306,91.98693431
212.1729056,97.69000146
199.8836384,103.1690871
187.3205163,108.321539
174.6783699,113.0508854
162.145931,117.2721133
149.8966326,120.9161056
138.0811062,123.9327589
126.8220442,126.2925071
116.211699,127.9862187
106.3119036,129.0236558
97.15618532,129.4308482
88.75336415,129.2468095
81.09198484,128.5200136
74.14499569,127.3049845
67.87422079,125.659249
62.23432616,123.6407983
57.17612435,121.3061093
52.64917621,118.7087104
48.60372726,115.8982328
44.99206159,112.9198642
41.7693757,109.8141198
38.89427647,106.6168474
36.32899814,103.3593976
34.03941906,100.0688994
31.99494315,96.76859803
30.16829623,93.47822102
28.53527432,90.2143493
27.07447046,86.99077744
25.76699827,83.81885318
24.596224,80.70779065
23.54751451,77.66495456
22.60800496,74.69611516
21.76638798,71.80567447
21.01272447,68.99686583
20.33827529,66.27192861
19.73535249,63.63226054
19.19718848,61.07855006
18.71782134,58.61089077
18.29199462,56.22888033
17.91506992,53.9317055
17.58295077,51.71821536
17.29201634,49.58698401
17.03906379,47.53636428
16.82125807,45.56453364
16.63608831,43.66953334
16.48132977,41.84930178
16.35501073,40.10170277
16.25538366,38.42454952
16.18089995,36.81562494
16.130188,35.27269866
16.1020339,33.79354136
16.09536465,32.37593667
16.10923333,31.01769109
16.14280623,29.71664214
16.19535142,28.47066504
16.26622878,27.277678
16.35488119,26.13564657
16.46082677,25.04258694
16.58365206,23.99656844
16.72300595,22.99571539
16.87859439,22.03820836
17.05017564,21.12228493
17.23755611,20.24624002
17.44058666,19.40842587
17.65915936,18.60725174
17.89320456,17.84118336
18.14268835,17.10874217
18.40761028,16.40850435
18.68800137,15.73909981
18.98392233,15.09921098
19.29546197,14.48757155
19.62273589,13.90296517
19.96588517,13.34422402
20.3250754,12.81022744
20.70049571,12.29990048
21.09235795,11.81221248
21.50089602,11.34617556
21.92636525,10.90084325
22.36904192,10.47530903
22.82922282,10.06870489
23.30722487,9.680199998
23.80338487,9.308999297
24.3180593,8.954342179
24.85162407,8.615501182
25.40447452,8.291780721
25.97702525,7.982515851
26.5697102,7.687071067
27.18298258,7.404839139
27.817315,7.135239988
28.47319956,6.877719598
29.15114793,6.631748959
29.85169158,6.396823059
30.57538194,6.172459901
31.32279061,5.958199565
32.09450964,5.753603305
32.89115176,5.558252679
33.71335071,5.371748711
34.56176155,5.193711099
35.43706097,5.023777447
36.33994768,4.861602528
37.27114277,4.706857592
38.23139009,4.559229694
39.22145667,4.418421053
40.24213315,4.284148456
41.2942342,4.156142669
42.37859897,4.0341479
43.49609156,3.917921273
44.64760147,3.807232341
45.8340441,3.70186262
47.05636122,3.601605156
48.31552147,3.506264115
49.61252083,3.415654399
50.94838315,3.329601291
52.32416062,3.247940128
53.74093428,3.170515992
55.19981446,3.097183438
56.70194134,3.027806242
58.24848534,2.962257176
59.8406476,2.900417814
61.47966044,2.842178363
63.16678771,2.787437525
64.90332521,2.736102386
66.69060104,2.688088338
68.52997587,2.643319035
70.42284321,2.601726378
72.37062963,2.563250543
74.37479487,2.527840044
76.43683189,2.495451834
78.55826686,2.466051459
